epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.29678,1.22356,9.61208,0.67402,1.39618,1.67809,0.94667,0.96386,0.98581,0.62573,0.00014,0.00602,8e-05,2e-05,1.11667,10.5392,0.74874,1.66595,1.66786,0.000654762,0.000654762,0.000654762
2,17.1757,0.76612,8.76495,0.58048,0.57957,1.29527,0.85298,0.87374,0.92607,0.65823,0.00093,0.00602,0.00047,0.00014,1.11215,10.8829,1.38364,1.23525,1.84279,0.00130835,0.00130835,0.00130835
3,25.0224,0.79313,7.94474,0.54268,0.61056,1.30109,0.87248,0.89157,0.95286,0.67504,0.02444,0.05422,0.00297,0.00038,1.11491,8.7412,1.05958,1.22574,1.88784,0.00194873,0.00194873,0.00194873
4,32.8153,0.76451,6.92693,0.52152,0.58615,1.27119,0.88071,0.93976,0.95186,0.68805,0.18659,0.24096,0.06099,0.01143,0.87771,6.07562,0.79608,1.13753,1.45108,0.0019406,0.0019406,0.0019406
5,40.6142,0.73291,6.00369,0.50037,0.56821,1.26848,0.96993,0.97145,0.99317,0.79772,0.16058,0.14458,0.03221,0.00514,0.82863,6.76895,0.82766,0.59317,1.31602,0.0019208,0.0019208,0.0019208
6,48.4648,0.67715,5.40217,0.49185,0.51902,1.22504,0.99072,1,0.99458,0.8313,0.08958,0.09036,0.01653,0.00219,0.67511,6.56601,0.86641,0.64139,1.10912,0.001901,0.001901,0.001901
7,56.0883,0.65193,5.18317,0.47577,0.50196,1.19768,0.99381,1,0.995,0.8851,0.40114,0.40361,0.18017,0.03037,0.58485,4.91022,0.74729,0.42568,0.98381,0.0018812,0.0018812,0.0018812
8,63.5968,0.62829,4.80196,0.48089,0.47314,1.19898,0.99438,1,0.995,0.88922,0.55659,0.56024,0.38548,0.1012,0.55478,4.56817,0.80616,0.42349,0.95112,0.0018614,0.0018614,0.0018614
9,70.7854,0.61746,4.59437,0.45631,0.48462,1.17527,0.9736,0.9759,0.99224,0.87263,0.70439,0.70482,0.58734,0.18212,0.56748,4.14596,0.8126,0.44275,0.97906,0.0018416,0.0018416,0.0018416
10,77.9978,0.58757,4.38821,0.45599,0.45488,1.16255,0.98723,1,0.99476,0.83661,0.79373,0.79518,0.76838,0.25747,0.57551,3.75796,0.7562,0.42144,1.01886,0.0018218,0.0018218,0.0018218
11,85.1956,0.58273,4.28469,0.44626,0.45472,1.16207,0.98679,0.99398,0.99415,0.88437,0.77215,0.77108,0.7044,0.22954,0.57175,3.55686,0.75341,0.46151,0.99108,0.001802,0.001802,0.001802
12,92.351,0.57893,4.30264,0.44839,0.4439,1.16268,0.99854,1,0.995,0.87032,0.74339,0.72892,0.61664,0.18969,0.54642,3.55552,0.77768,0.37704,0.92106,0.0017822,0.0017822,0.0017822
13,99.4655,0.56227,3.88476,0.44541,0.43521,1.14562,0.99937,1,0.995,0.8736,0.8337,0.81325,0.75142,0.28544,0.59517,3.38285,0.76395,0.39572,1.02159,0.0017624,0.0017624,0.0017624
14,106.59,0.54712,3.79394,0.43748,0.40324,1.145,0.9988,1,0.995,0.91883,0.80057,0.8012,0.70288,0.19934,0.51186,3.61552,0.75103,0.37976,0.9315,0.0017426,0.0017426,0.0017426
15,113.715,0.56002,3.70466,0.43717,0.41882,1.13428,0.99393,0.98706,0.99271,0.87952,0.8051,0.79629,0.6918,0.21892,0.55206,3.44102,0.76439,0.38414,0.95751,0.0017228,0.0017228,0.0017228
16,120.84,0.53741,3.62417,0.44025,0.39952,1.11842,0.98766,0.99398,0.995,0.89653,0.77398,0.78916,0.7486,0.20762,0.51475,3.54643,0.72641,0.36036,0.89121,0.001703,0.001703,0.001703
17,128.095,0.5571,3.48583,0.43864,0.42064,1.14055,0.98985,0.99398,0.99494,0.9067,0.86546,0.86747,0.863,0.2385,0.51309,3.37779,0.73601,0.34787,0.87843,0.0016832,0.0016832,0.0016832
18,135.22,0.53695,3.39068,0.41435,0.40886,1.12854,0.99399,0.99679,0.995,0.91012,0.7635,0.76506,0.67062,0.21352,0.50274,3.56338,0.73165,0.33091,0.87202,0.0016634,0.0016634,0.0016634
19,142.49,0.53163,3.3419,0.42057,0.40874,1.12364,0.99826,1,0.995,0.89899,0.86894,0.85542,0.82971,0.33835,0.51553,3.29781,0.70694,0.33936,0.8862,0.0016436,0.0016436,0.0016436
20,150.479,0.51973,3.23566,0.41878,0.39929,1.10287,0.99938,1,0.995,0.90593,0.81852,0.8012,0.72989,0.22418,0.4846,3.57529,0.74768,0.34694,0.8446,0.0016238,0.0016238,0.0016238
21,158.225,0.51929,3.26437,0.42397,0.39262,1.11108,0.99728,1,0.995,0.90166,0.90379,0.89759,0.89445,0.36271,0.49284,3.01889,0.68615,0.34301,0.86862,0.001604,0.001604,0.001604
22,165.898,0.5189,3.1037,0.41215,0.39263,1.12944,0.99862,1,0.995,0.91066,0.90833,0.90964,0.92538,0.34377,0.46678,3.13376,0.71771,0.32241,0.85209,0.0015842,0.0015842,0.0015842
23,173.552,0.49997,3.11399,0.41146,0.38223,1.1087,0.99656,0.99398,0.995,0.92601,0.90777,0.90361,0.8965,0.32921,0.48323,3.0671,0.75297,0.37534,0.85938,0.0015644,0.0015644,0.0015644
24,181.188,0.49003,2.92226,0.40723,0.36739,1.09915,0.99955,1,0.995,0.92398,0.92753,0.92771,0.91018,0.41263,0.4849,2.84059,0.71522,0.36062,0.88468,0.0015446,0.0015446,0.0015446
25,188.916,0.48051,2.80553,0.40696,0.36701,1.09529,0.99919,1,0.995,0.93767,0.9089,0.90964,0.89878,0.36364,0.42699,3.01448,0.71883,0.3097,0.79882,0.0015248,0.0015248,0.0015248
26,196.558,0.48022,2.91966,0.39823,0.36988,1.09045,0.9993,1,0.995,0.921,0.91679,0.90964,0.91335,0.42061,0.4474,2.91894,0.71717,0.28681,0.81331,0.001505,0.001505,0.001505
27,204.383,0.47036,2.86136,0.41174,0.35824,1.08622,0.99885,1,0.995,0.92459,0.8845,0.88554,0.8374,0.36132,0.42349,2.93163,0.69071,0.33676,0.76767,0.0014852,0.0014852,0.0014852
28,212.032,0.46269,2.67713,0.39961,0.34844,1.08134,0.98754,1,0.99169,0.91746,0.92208,0.93373,0.91996,0.46143,0.44569,2.64016,0.62598,0.30294,0.80419,0.0014654,0.0014654,0.0014654
29,219.71,0.47055,2.68659,0.40296,0.36599,1.0864,0.99008,0.98795,0.99458,0.91823,0.89764,0.89157,0.89996,0.43228,0.42402,2.62923,0.70643,0.31781,0.80759,0.0014456,0.0014456,0.0014456
30,227.33,0.46748,2.59822,0.39562,0.35366,1.09157,0.99899,1,0.995,0.9224,0.92677,0.92771,0.92873,0.50414,0.43388,2.51591,0.66319,0.33608,0.79713,0.0014258,0.0014258,0.0014258
31,234.943,0.45514,2.48264,0.40035,0.35097,1.0826,0.98753,1,0.995,0.9274,0.9338,0.92169,0.9391,0.49833,0.42133,2.47657,0.70138,0.32298,0.7724,0.001406,0.001406,0.001406
32,242.549,0.45728,2.40261,0.39742,0.34215,1.07615,0.98222,0.99827,0.99482,0.91669,0.91109,0.92601,0.91038,0.48078,0.44774,2.4064,0.71935,0.32721,0.80845,0.0013862,0.0013862,0.0013862
33,250.11,0.45582,2.27791,0.40706,0.33382,1.07714,0.99899,1,0.995,0.92925,0.92787,0.93373,0.92794,0.4847,0.43586,2.34177,0.7156,0.25549,0.80884,0.0013664,0.0013664,0.0013664
34,257.676,0.44938,2.26184,0.3974,0.34621,1.06628,0.99919,1,0.995,0.92535,0.93894,0.93976,0.94471,0.57785,0.44721,2.0526,0.69391,0.2977,0.83101,0.0013466,0.0013466,0.0013466
35,265.259,0.43637,2.20252,0.38653,0.32957,1.0653,0.99963,1,0.995,0.94098,0.92736,0.92771,0.91505,0.57179,0.40773,1.94271,0.66953,0.26798,0.75862,0.0013268,0.0013268,0.0013268
36,272.962,0.43918,2.17829,0.38833,0.33125,1.06482,0.99959,1,0.995,0.93753,0.92732,0.92771,0.90047,0.59465,0.39793,1.91692,0.65337,0.29681,0.75821,0.001307,0.001307,0.001307
37,280.506,0.44497,2.13542,0.38843,0.33668,1.07463,0.99964,1,0.995,0.9166,0.93941,0.93976,0.94258,0.62668,0.46984,1.83196,0.65283,0.29678,0.85844,0.0012872,0.0012872,0.0012872
38,288.064,0.43406,2.02949,0.39086,0.32625,1.06557,0.99948,1,0.995,0.91951,0.93927,0.93976,0.91383,0.56261,0.41386,1.84054,0.70503,0.28064,0.77563,0.0012674,0.0012674,0.0012674
39,295.606,0.42835,1.9089,0.38811,0.32972,1.06289,1,0.99904,0.995,0.92037,0.95341,0.95181,0.9473,0.67171,0.41282,1.53395,0.70983,0.31313,0.76353,0.0012476,0.0012476,0.0012476
40,303.148,0.44321,1.88598,0.39888,0.33001,1.05957,0.97113,1,0.99091,0.89701,0.93343,0.94578,0.94164,0.67834,0.4637,1.47299,0.7058,0.35019,0.83425,0.0012278,0.0012278,0.0012278
41,310.687,0.43392,1.79456,0.39662,0.3238,1.05428,0.994,0.99771,0.9947,0.94525,0.91888,0.92169,0.9079,0.65663,0.39731,1.50046,0.66387,0.2943,0.73896,0.001208,0.001208,0.001208
42,318.255,0.41951,1.80904,0.39198,0.32572,1.05026,0.99457,1,0.995,0.92585,0.92075,0.92771,0.90742,0.68771,0.43344,1.30762,0.67691,0.30759,0.77742,0.0011882,0.0011882,0.0011882
43,325.83,0.42194,1.78288,0.38645,0.32138,1.05978,0.99922,1,0.995,0.92307,0.92697,0.92771,0.91224,0.67994,0.42675,1.38593,0.68378,0.28046,0.79322,0.0011684,0.0011684,0.0011684
44,333.366,0.41869,1.79125,0.3843,0.32,1.04876,0.99311,1,0.995,0.94182,0.92122,0.92771,0.91692,0.71011,0.38785,1.23516,0.65098,0.29674,0.76261,0.0011486,0.0011486,0.0011486
45,340.936,0.42376,1.62365,0.39353,0.30958,1.06638,0.99899,1,0.995,0.93614,0.93272,0.93373,0.90727,0.67257,0.415,1.25689,0.63454,0.28242,0.74935,0.0011288,0.0011288,0.0011288
46,348.516,0.41041,1.5914,0.37927,0.30215,1.04766,0.99917,1,0.995,0.93929,0.93452,0.9457,0.917,0.68569,0.40133,1.22376,0.64731,0.28741,0.75519,0.001109,0.001109,0.001109
47,356.252,0.39531,1.57615,0.39029,0.29641,1.04724,0.99799,1,0.995,0.93653,0.93181,0.93373,0.90068,0.65734,0.40774,1.30893,0.66859,0.25107,0.76784,0.0010892,0.0010892,0.0010892
48,363.865,0.40009,1.55553,0.3808,0.30205,1.04895,1,0.99971,0.995,0.93868,0.92676,0.92169,0.92156,0.68778,0.40226,1.27386,0.67056,0.26545,0.75692,0.0010694,0.0010694,0.0010694
49,371.505,0.4009,1.52692,0.38493,0.30711,1.03931,0.9953,1,0.995,0.94061,0.95806,0.96319,0.96457,0.78127,0.37997,1.14522,0.6311,0.25947,0.71867,0.0010496,0.0010496,0.0010496
50,379.168,0.40388,1.51135,0.38466,0.29378,1.04575,0.9996,1,0.995,0.94694,0.92771,0.92771,0.91638,0.72562,0.34999,1.19011,0.61536,0.23585,0.69915,0.0010298,0.0010298,0.0010298
51,386.83,0.39333,1.50141,0.37906,0.30759,1.03419,0.99931,1,0.995,0.95295,0.92717,0.92771,0.91818,0.76537,0.34714,1.07458,0.66336,0.24628,0.70243,0.00101,0.00101,0.00101
52,394.499,0.39011,1.51025,0.38772,0.29649,1.0377,0.99963,1,0.995,0.94304,0.94542,0.94578,0.93789,0.74195,0.36318,1.22096,0.68651,0.25357,0.72185,0.0009902,0.0009902,0.0009902
53,402.148,0.3885,1.40568,0.38645,0.29389,1.04371,0.99961,1,0.995,0.95306,0.92735,0.92771,0.91761,0.73118,0.35425,1.15343,0.65597,0.24564,0.70931,0.0009704,0.0009704,0.0009704
54,409.809,0.38479,1.35337,0.37823,0.29103,1.02747,0.99367,1,0.995,0.95105,0.93481,0.93373,0.93621,0.81503,0.35832,1.00481,0.66048,0.2572,0.70742,0.0009506,0.0009506,0.0009506
55,417.47,0.38717,1.42093,0.375,0.2955,1.03374,0.99939,1,0.995,0.9628,0.9452,0.94578,0.94584,0.81089,0.32221,0.97291,0.65521,0.26521,0.67082,0.0009308,0.0009308,0.0009308
56,425.138,0.38381,1.27166,0.36912,0.28967,1.03466,0.99961,1,0.995,0.94578,0.9514,0.95181,0.94599,0.79973,0.37202,0.96426,0.64349,0.26433,0.73482,0.000911,0.000911,0.000911
57,432.905,0.3652,1.36145,0.38002,0.28558,1.02206,0.99965,1,0.995,0.95824,0.93942,0.93976,0.92932,0.74617,0.34254,1.10533,0.64841,0.24313,0.68846,0.0008912,0.0008912,0.0008912
58,440.553,0.38641,1.38714,0.37223,0.29488,1.03651,1,0.99868,0.995,0.94431,0.9561,0.95181,0.95273,0.80364,0.36227,0.96136,0.62791,0.2567,0.69928,0.0008714,0.0008714,0.0008714
59,448.239,0.37366,1.25858,0.3718,0.28447,1.03328,0.99947,1,0.995,0.95921,0.93589,0.93373,0.92191,0.77317,0.32169,0.97673,0.62269,0.24308,0.6627,0.0008516,0.0008516,0.0008516
60,456.013,0.36264,1.2736,0.37322,0.27342,1.03135,0.99961,1,0.995,0.96432,0.95746,0.95783,0.9421,0.78367,0.32736,0.96233,0.65489,0.23575,0.67993,0.0008318,0.0008318,0.0008318
61,463.574,0.36315,1.27064,0.37127,0.28347,1.02297,0.9974,1,0.995,0.94836,0.94928,0.95181,0.9408,0.77986,0.36698,0.93935,0.63887,0.23351,0.72132,0.000812,0.000812,0.000812
62,471.243,0.36874,1.22848,0.36663,0.28054,1.02848,0.99967,1,0.995,0.94305,0.97558,0.9759,0.96124,0.80345,0.36457,0.90797,0.64726,0.24128,0.7297,0.0007922,0.0007922,0.0007922
63,478.895,0.35843,1.23486,0.37165,0.27462,1.0173,1,0.99961,0.995,0.96103,0.95705,0.95181,0.93654,0.77271,0.31588,1.01415,0.67874,0.23216,0.66582,0.0007724,0.0007724,0.0007724
64,486.525,0.35208,1.18915,0.36198,0.27412,1.01275,0.99962,1,0.995,0.96667,0.95144,0.95181,0.93997,0.81792,0.31265,0.94162,0.66441,0.21383,0.65827,0.0007526,0.0007526,0.0007526
65,494.177,0.36022,1.17595,0.37706,0.27284,1.03061,0.99964,1,0.995,0.95614,0.93942,0.93976,0.92285,0.81526,0.33978,0.87907,0.64656,0.22176,0.68714,0.0007328,0.0007328,0.0007328
66,501.831,0.3519,1.11715,0.37382,0.2687,1.02096,0.99966,1,0.995,0.9576,0.94546,0.94578,0.94494,0.84396,0.36761,0.88064,0.63854,0.24297,0.71433,0.000713,0.000713,0.000713
67,509.608,0.35054,1.11352,0.36375,0.2739,1.01548,0.99966,1,0.995,0.96266,0.9575,0.95783,0.95921,0.84488,0.32366,0.84038,0.63089,0.19207,0.66611,0.0006932,0.0006932,0.0006932
68,517.238,0.34975,1.05839,0.37014,0.2634,1.01386,0.99964,1,0.995,0.95537,0.95749,0.95783,0.95958,0.83568,0.32617,0.84159,0.61509,0.21876,0.68157,0.0006734,0.0006734,0.0006734
69,524.854,0.35769,1.13449,0.36982,0.27262,1.01111,0.99964,1,0.995,0.96015,0.95749,0.95783,0.94468,0.81171,0.32073,0.81952,0.61076,0.20909,0.668,0.0006536,0.0006536,0.0006536
70,532.457,0.33033,1.13058,0.36947,0.25598,1.00421,0.99959,1,0.995,0.95529,0.95142,0.95181,0.9234,0.79992,0.32938,0.82102,0.60108,0.21353,0.67789,0.0006338,0.0006338,0.0006338
71,540.045,0.34785,1.12921,0.36108,0.26674,1.01533,0.9997,1,0.995,0.96359,0.95754,0.95783,0.9357,0.81444,0.30794,0.80272,0.61435,0.20713,0.65905,0.000614,0.000614,0.000614
72,547.617,0.32963,1.07016,0.36927,0.25912,1.00839,0.99941,1,0.995,0.95349,0.95726,0.95783,0.94372,0.78758,0.33424,0.81866,0.64442,0.21915,0.68575,0.0005942,0.0005942,0.0005942
73,555.173,0.33028,1.04866,0.36062,0.27585,1.00538,0.99947,1,0.995,0.96726,0.98141,0.98193,0.97041,0.81024,0.29232,0.78877,0.64872,0.20701,0.64421,0.0005744,0.0005744,0.0005744
74,562.698,0.34197,1.0512,0.36398,0.26404,1.00227,0.99965,1,0.995,0.97491,0.94545,0.94578,0.93003,0.84664,0.28265,0.76949,0.64459,0.21881,0.63427,0.0005546,0.0005546,0.0005546
75,570.24,0.32186,0.98888,0.36003,0.25001,0.9963,0.99965,1,0.995,0.96645,0.96352,0.96386,0.96235,0.85667,0.30627,0.77064,0.62394,0.2186,0.66346,0.0005348,0.0005348,0.0005348
76,577.903,0.32922,0.97488,0.36153,0.25694,1.01102,0.99967,1,0.995,0.96216,0.96354,0.96386,0.95906,0.86507,0.33626,0.76161,0.63931,0.21397,0.6884,0.000515,0.000515,0.000515
77,585.465,0.32537,1.00575,0.358,0.25152,0.99873,0.99964,1,0.995,0.9614,0.95749,0.95783,0.94938,0.84072,0.30296,0.75991,0.64009,0.20806,0.6516,0.0004952,0.0004952,0.0004952
78,593.032,0.32728,1.03199,0.3673,0.25273,1.00026,0.99961,1,0.995,0.95924,0.95746,0.95783,0.94418,0.84212,0.29755,0.70337,0.63367,0.19973,0.64713,0.0004754,0.0004754,0.0004754
79,600.557,0.33503,1.02624,0.36928,0.25463,1.0037,0.99964,1,0.995,0.97049,0.95749,0.95783,0.94958,0.82252,0.28161,0.80142,0.6289,0.19665,0.62859,0.0004556,0.0004556,0.0004556
80,608.085,0.31826,0.97775,0.36326,0.24291,0.98784,0.99957,1,0.995,0.97278,0.97548,0.9759,0.96528,0.85764,0.2925,0.69911,0.63321,0.21468,0.64023,0.0004358,0.0004358,0.0004358
81,615.757,0.30885,0.86272,0.35954,0.24365,0.99238,0.99951,1,0.995,0.95692,0.96337,0.96386,0.95082,0.81229,0.29076,0.77077,0.62408,0.19649,0.6475,0.000416,0.000416,0.000416
82,623.58,0.30684,0.88467,0.35316,0.23906,1.00097,0.99964,1,0.995,0.96806,0.95748,0.95783,0.93735,0.81692,0.29762,0.75834,0.62745,0.199,0.66389,0.0003962,0.0003962,0.0003962
83,631.106,0.31358,0.94707,0.36709,0.23594,0.99426,0.99931,1,0.995,0.97492,0.95715,0.95783,0.9542,0.84513,0.27845,0.73195,0.62723,0.19988,0.6254,0.0003764,0.0003764,0.0003764
84,638.69,0.30351,0.89634,0.35624,0.23616,0.99087,0.99943,1,0.995,0.97021,0.9633,0.96386,0.96064,0.85996,0.27992,0.70215,0.61744,0.19583,0.63441,0.0003566,0.0003566,0.0003566
85,646.278,0.30013,0.97155,0.3656,0.23828,0.97881,0.99903,1,0.995,0.96454,0.97494,0.9759,0.96745,0.87059,0.28472,0.69066,0.60922,0.19973,0.63977,0.0003368,0.0003368,0.0003368
86,653.979,0.30731,0.86825,0.35536,0.24063,0.98553,0.99928,1,0.995,0.96726,0.96316,0.96386,0.95746,0.84315,0.28137,0.69349,0.60307,0.2003,0.63746,0.000317,0.000317,0.000317
87,661.603,0.30649,0.84876,0.35449,0.23746,0.98994,0.99938,1,0.995,0.96485,0.9753,0.9759,0.9623,0.85154,0.28812,0.70734,0.60716,0.18866,0.63664,0.0002972,0.0002972,0.0002972
88,669.225,0.29217,0.86096,0.3658,0.2285,0.98819,0.99955,1,0.995,0.97107,0.97546,0.9759,0.9648,0.86791,0.27394,0.67417,0.60997,0.19426,0.61667,0.0002774,0.0002774,0.0002774
89,676.86,0.2951,0.76541,0.35819,0.22965,0.98432,0.9993,1,0.995,0.96478,0.98124,0.98193,0.97232,0.86426,0.27829,0.67245,0.61549,0.20518,0.62793,0.0002576,0.0002576,0.0002576
90,684.457,0.29538,0.80837,0.36212,0.23003,0.98775,0.99852,1,0.995,0.96836,0.98048,0.98193,0.97304,0.85702,0.27427,0.65533,0.60307,0.19957,0.61982,0.0002378,0.0002378,0.0002378
91,692.568,0.24483,0.72166,0.56774,0.1856,0.99204,0.99967,1,0.995,0.97166,0.98763,0.98795,0.97851,0.8392,0.27382,0.65492,0.59223,0.19629,0.61074,0.000218,0.000218,0.000218
92,700.158,0.2276,0.67534,0.56043,0.16538,0.98048,0.99966,1,0.995,0.97021,0.99364,0.99398,0.98904,0.87095,0.27732,0.60138,0.58755,0.19803,0.62509,0.0001982,0.0001982,0.0001982
93,707.767,0.21912,0.61108,0.54841,0.15253,0.97886,0.99966,1,0.995,0.97628,0.99364,0.99398,0.9891,0.88243,0.27068,0.60253,0.57794,0.19533,0.61013,0.0001784,0.0001784,0.0001784
94,715.377,0.21421,0.63358,0.54312,0.155,0.98135,0.99966,1,0.995,0.97478,0.99364,0.99398,0.9891,0.89539,0.2752,0.554,0.58055,0.20728,0.6272,0.0001586,0.0001586,0.0001586
95,723.099,0.21111,0.60757,0.54791,0.15231,0.97021,0.99966,1,0.995,0.97777,0.99364,0.99398,0.98958,0.89038,0.25992,0.57621,0.58263,0.19049,0.59657,0.0001388,0.0001388,0.0001388
96,730.673,0.20373,0.5938,0.54364,0.14464,0.9702,0.99967,1,0.995,0.97534,0.98161,0.98193,0.97253,0.88459,0.26446,0.56598,0.58938,0.18897,0.60865,0.000119,0.000119,0.000119
97,738.26,0.20396,0.60225,0.54639,0.14501,0.95908,0.99967,1,0.995,0.98306,0.99365,0.99398,0.98904,0.89177,0.25032,0.54802,0.58913,0.17775,0.59435,9.92e-05,9.92e-05,9.92e-05
98,745.846,0.19518,0.57341,0.5403,0.13985,0.96404,0.99968,1,0.995,0.97588,0.99366,0.99398,0.98904,0.90545,0.25977,0.54422,0.58575,0.18483,0.60578,7.94e-05,7.94e-05,7.94e-05
99,753.434,0.19934,0.5415,0.5384,0.14212,0.97071,0.99967,1,0.995,0.98255,0.99365,0.99398,0.98904,0.9006,0.24778,0.53355,0.58281,0.19092,0.58941,5.96e-05,5.96e-05,5.96e-05
100,761.053,0.18978,0.57269,0.54012,0.13458,0.95628,0.99967,1,0.995,0.97881,0.99365,0.99398,0.9891,0.89274,0.24612,0.52379,0.58378,0.1818,0.59474,3.98e-05,3.98e-05,3.98e-05
